Date,Adj Close,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Volatility,Risk_Level
2010-02-14,4.63551569,6.593946934,6.593946934,6.593946934,6.593946934,0,0.0,6.525272914428571,6.207563161833334,0.01187422480630234,Low Risk
2010-02-15,4.708038807,6.69711113,6.800273895,6.70030117,6.69711113,3659411,0.015645287569431288,6.555204051,6.239894803366667,0.012110045002700602,Low Risk
2010-02-16,4.688599586,6.669458866,6.80665493,6.669458866,6.75028801,3445841,-0.004128983895179794,6.581184864142857,6.26694417,0.012467494235237063,Low Risk
2010-02-17,4.695327759,6.679030895,6.80665493,6.679030895,6.784320831,3488284,0.0014352032439688411,6.621903283285714,6.2936035951,0.00968670093028173,Low Risk
2010-02-18,4.676635742,6.652441978,6.80665493,6.652441978,6.761987209,3216099,-0.003980954335741305,6.637552533857142,6.3201920986,0.006749773677027538,Low Risk
2010-02-21,4.676635742,6.652441978,6.652441978,6.652441978,6.652441978,0,0.0,6.64833981642857,6.3467806021,0.006675101454577446,Low Risk
2010-02-22,4.61009407,6.557786942,6.599265099,6.489719868,6.525880814,5636788,-0.014228615042871429,6.643174103285714,6.369504896766667,0.008927814401941365,Low Risk
2010-02-23,4.554018497,6.478021145,6.547152042,6.408891201,6.547152042,2389463,-0.012163523716992475,6.626613276285714,6.3886840661,0.00988919716059819,Low Risk
2010-02-24,4.57121563,6.502482891,6.591819763,6.413146019,6.478021145,8262576,0.003776113947834281,6.598809242142857,6.4061970233666665,0.006795293205527818,Low Risk
2010-02-25,4.706542492,6.694983959,6.801338196,6.583312035,6.502482891,7711040,0.0296042405996082,6.602455684,6.427857796333333,0.014469297051408633,Low Risk
2010-02-28,4.648972988,6.613090992,6.747097015,6.572677135,6.648188114,1626229,-0.012231988530743587,6.593035697857142,6.446788803733333,0.015244605173123886,Low Risk
2010-03-01,4.603365421,6.548214912,6.688601971,6.461005211,6.613090992,6153816,-0.009810250619337046,6.578146117,6.4647271633,0.015570070922220085,Low Risk
2010-03-02,4.622804642,6.575867176,6.646060944,6.514182091,6.548214912,4952225,0.0042228705642091136,6.567206859571428,6.4798648675,0.01574807377264015,Low Risk
